frequency,attack-angle,chord-length,free-stream-velocity,suct-side-displacement,norm-sound
6300,4.8,0.0254,31.7,0.000930789,78.4907065
400,7.3,0.2286,71.3,0.0104404,95.881086
5000,5.4,0.1524,31.7,0.00525474,32.7359268
5000,9.5,0.0254,71.3,0.00420654,73.9383625
630,9.9,0.1524,31.7,0.0252785,60.2786715
8000,0,0.0254,31.7,0.000439472,89.9486798
315,17.4,0.0254,39.6,0.0172206,31.2814104
2000,15.4,0.0508,31.7,0.0289853,46.4142314
250,4,0.3048,71.3,0.00497773,61.198713
6300,15.4,0.0508,39.6,0.0282593,16.706996
1600,3.3,0.1016,39.6,0.00245138,78.9507273
500,2,0.2286,55.5,0.00313525,56.6703007
200,0,0.3048,31.7,0.00331266,36.7351823
1000,0,0.0508,39.6,0.000791822,64.5039487
4000,22.2,0.0254,71.3,0.0214178,54.6095142
315,19.7,0.0508,39.6,0.036484,70.4230595
2500,3,0.3048,39.6,0.00495741,44.6246709
630,4.8,0.0254,31.7,0.000930789,44.4013083
1250,19.7,0.0508,71.3,0.0341183,48.142633
2500,5.3,0.2286,39.6,0.00614329,33.9591034
400,4,0.3048,39.6,0.00579636,67.1497328
1600,0,0.0508,39.6,0.000791822,73.1991385
315,8.9,0.1016,39.6,0.0124596,85.0905417
400,8.4,0.0508,39.6,0.00566229,44.2337863
400,6.7,0.1016,31.7,0.00592927,66.253623
250,9.9,0.1524,71.3,0.0193001,84.9549286
2500,3.3,0.1016,55.5,0.002211,78.4667748
800,0,0.1016,39.6,0.00146332,66.5328263
2000,22.2,0.0254,39.6,0.0229028,47.5337038
5000,12.7,0.0254,71.3,0.0121808,68.0671152
1250,1.5,0.3048,71.3,0.00336729,59.8080145
630,7.3,0.2286,31.7,0.0132672,60.6509426
6300,4.2,0.0508,71.3,0.00142788,68.9446114
800,8.4,0.0508,55.5,0.00544854,66.9609381
10000,4.2,0.0508,39.6,0.00152689,36.1289122
1000,17.4,0.0254,55.5,0.0165706,60.1510357
6300,12.3,0.1016,39.6,0.0408268,12.2450608
1000,2,0.2286,31.7,0.00372371,71.6010317
1250,17.4,0.0254,39.6,0.0172206,74.4116787
8000,0,0.1016,71.3,0.00121072,58.7257691
1250,0,0.1016,39.6,0.00146332,76.8234637
250,15.4,0.0508,39.6,0.0282593,51.8866169
1250,17.4,0.0254,31.7,0.0176631,66.2802138
16000,2.7,0.1524,71.3,0.00243851,18.5710107
1250,0,0.1524,71.3,0.0015988,67.9315021
5000,12.3,0.1016,55.5,0.0368233,22.9584918
2000,0,0.3048,39.6,0.00310138,54.0032441
1250,5.4,0.1524,55.5,0.00433288,72.8507991
2500,2,0.2286,71.3,0.00293031,62.8234105
630,5.4,0.1524,31.7,0.00525474,74.6962002
12500,4.8,0.0254,55.5,0.000873218,57.7392507
3150,8.4,0.0508,71.3,0.00529514,76.0124445
6300,0,0.1016,71.3,0.00121072,69.1759513
2500,15.4,0.0508,39.6,0.0282593,50.6102587
400,9.9,0.1524,31.7,0.0252785,67.9634111
800,11.2,0.0508,71.3,0.014072,86.8216024
3150,0,0.2286,31.7,0.0027238,53.3544287
2000,9.5,0.0254,71.3,0.00420654,84.0162736
500,0,0.2286,55.5,0.00229336,54.2452203
8000,3.3,0.1016,71.3,0.00202822,47.4752041
6300,1.5,0.3048,39.6,0.00392107,30.2363922
250,12.3,0.1016,55.5,0.0368233,79.543702
3150,0,0.0508,55.5,0.00076193,83.6174117
800,0,0.3048,55.5,0.00283081,65.6952163
630,17.4,0.0254,31.7,0.0176631,89.0951153
250,5.3,0.2286,39.6,0.00614329,62.8367059
500,7.2,0.1524,71.3,0.00752039,76.2171936
2000,22.2,0.0254,71.3,0.0214178,63.3312947
1250,8.4,0.0508,71.3,0.00529514,76.331534
5000,0,0.3048,39.6,0.00310138,38.3146755
1250,1.5,0.3048,39.6,0.00392107,58.050363
3150,7.3,0.2286,31.7,0.0132672,26.1892733
20000,0,0.2286,71.3,0.00214345,29.4998272
250,7.3,0.2286,71.3,0.0104404,97.1574441
5000,9.9,0.1524,71.3,0.0193001,29.7524397
1600,12.7,0.0254,39.6,0.0130253,70.7235355
1600,5.4,0.1524,71.3,0.00401199,79.4027708
250,17.4,0.0254,39.6,0.0172206,30.1380062
4000,15.4,0.0508,31.7,0.0289853,32.5870184
1000,7.3,0.2286,39.6,0.0123481,50.9453027
8000,0,0.0254,39.6,0.000428464,86.3828543
800,6.7,0.1016,55.5,0.0052139,86.6141942
6300,9.9,0.1524,71.3,0.0193001,23.0249688
6300,12.3,0.1016,31.7,0.0418756,10.3358417
1600,0,0.3048,71.3,0.00266337,64.378972
500,9.9,0.1524,71.3,0.0193001,74.1856569
2500,9.5,0.0254,39.6,0.00449821,74.0659984
2000,15.4,0.0508,39.6,0.0282593,53.3491105
1000,9.9,0.1524,31.7,0.0252785,49.9082618
5000,9.9,0.1524,39.6,0.0233328,20.621161
2000,5.4,0.1524,55.5,0.00433288,67.3465046
2000,5.3,0.2286,39.6,0.00614329,38.6390831
1600,8.4,0.0508,39.6,0.00566229,73.350706
2000,7.2,0.1524,71.3,0.00752039,67.1763236
2000,0,0.1524,31.7,0.00209405,67.8783205
4000,2.7,0.1524,39.6,0.00294804,49.2169011
5000,2,0.2286,39.6,0.00346574,41.0747999
10000,1.5,0.3048,71.3,0.00336729,26.8886112
3150,2,0.2286,55.5,0.00313525,54.1441753
3150,15.6,0.1016,39.6,0.0528487,15.6194326
2500,2.7,0.1524,39.6,0.00294804,59.055495
5000,0,0.3048,55.5,0.00283081,43.1462228
16000,4,0.2286,71.3,0.00400603,24.9634377
4000,3.3,0.1016,55.5,0.002211,63.4163852
800,7.2,0.1524,71.3,0.00752039,86.8003297
6300,4,0.2286,39.6,0.00473801,28.9015343
1600,0,0.1016,71.3,0.00121072,75.3716063
2000,12.3,0.1016,71.3,0.0337792,50.0917382
2500,0,0.1016,39.6,0.00146332,77.7275507
10000,3,0.3048,71.3,0.00425727,18.1987396
630,2,0.2286,71.3,0.00293031,63.7540883
2000,12.6,0.1524,71.3,0.0483159,37.5568378
250,7.2,0.1524,39.6,0.00909175,64.1050868
2000,0,0.0508,71.3,0.000740478,73.6033185
800,15.6,0.1016,71.3,0.0437259,55.3301247
4000,0,0.2286,31.7,0.0027238,49.6051267
250,12.3,0.1016,71.3,0.0337792,74.9541309
4000,0,0.1524,31.7,0.00209405,54.3170154
250,7.3,0.2286,31.7,0.0132672,71.0213524
16000,1.5,0.3048,71.3,0.00336729,8.5143723
800,12.3,0.1016,31.7,0.0418756,44.292286
250,15.4,0.0508,31.7,0.0289853,47.4512724
800,19.7,0.0508,71.3,0.0341183,56.3060069
250,4,0.2286,31.7,0.00509068,44.6964661
1000,11.2,0.0508,71.3,0.014072,89.2413646
8000,4.8,0.0254,31.7,0.000930789,62.8287287
1000,5.4,0.1524,71.3,0.00401199,79.2964076
800,4.8,0.0254,39.6,0.000907475,46.2307549
5000,4.8,0.0254,31.7,0.000930789,84.7395432
2500,17.4,0.0254,39.6,0.0172206,55.239716
3150,3,0.3048,71.3,0.00425727,48.2197463
315,12.3,0.1016,55.5,0.0368233,85.872311
500,11.2,0.0508,71.3,0.014072,71.611668
1250,4,0.2286,55.5,0.0042862,74.1457707
200,9.9,0.1524,31.7,0.0252785,63.6025208
400,12.3,0.1016,71.3,0.0337792,95.8544952
2500,12.3,0.1016,55.5,0.0368233,36.3602521
1600,7.2,0.1524,39.6,0.00909175,44.3481267
630,5.3,0.2286,39.6,0.00614329,76.1321031
630,3.3,0.1016,39.6,0.00245138,63.474885
630,5.4,0.1524,55.5,0.00433288,75.5896509
5000,1.5,0.3048,71.3,0.00336729,43.2153588
4000,7.2,0.1524,39.6,0.00909175,28.925466
200,15.4,0.0508,71.3,0.0264269,53.7532906
250,17.4,0.0254,31.7,0.0176631,36.0996623
630,12.3,0.1016,71.3,0.0337792,85.0586327
4000,9.5,0.0254,71.3,0.00420654,82.0485548
1000,8.4,0.0508,31.7,0.00580776,69.4976999
630,7.3,0.2286,55.5,0.0111706,73.2682745
4000,19.7,0.0508,71.3,0.0341183,25.7000027
630,4,0.2286,55.5,0.0042862,70.6889675
1250,0,0.0508,55.5,0.00076193,63.0095461
3150,0,0.1016,31.7,0.00150092,70.7128992
500,0,0.1524,31.7,0.00209405,48.4936315
3150,4.2,0.0508,39.6,0.00152689,80.3228122
800,3,0.3048,39.6,0.00495741,69.5934268
10000,0,0.0508,55.5,0.00076193,64.4986306
2500,0,0.0254,55.5,0.00041229,70.9788071
5000,3,0.3048,31.7,0.00529514,27.8618342
8000,4.8,0.0254,39.6,0.000907475,74.3638152
2000,17.4,0.0254,71.3,0.016104,62.3447762
500,15.4,0.0508,71.3,0.0264269,63.5652937
1600,4.8,0.0254,31.7,0.000930789,67.3757545
315,12.3,0.1016,31.7,0.0418756,56.7367777
8000,15.4,0.0508,71.3,0.0264269,24.7161433
8000,4,0.2286,39.6,0.00473801,25.9233653
500,6.7,0.1016,31.7,0.00592927,71.3324647
315,12.3,0.1016,39.6,0.0408268,69.2291329
3150,7.3,0.2286,55.5,0.0111706,36.5729784
8000,3,0.3048,55.5,0.00452492,27.7049485
315,12.3,0.1016,71.3,0.0337792,89.5790677
250,15.6,0.1016,71.3,0.0437259,76.5229877
630,3.3,0.1016,55.5,0.002211,61.7411652
1600,2,0.2286,71.3,0.00293031,64.9240833
1250,15.4,0.0508,39.6,0.0282593,62.1240726
1600,0,0.2286,31.7,0.0027238,59.1512218
250,12.3,0.1016,31.7,0.0418756,59.7681283
3150,7.3,0.2286,71.3,0.0104404,45.4117584
1000,15.4,0.0508,71.3,0.0264269,75.7438775
1000,0,0.0508,31.7,0.000812164,62.2224586
10000,0,0.0254,31.7,0.000439472,82.0246231
1000,8.9,0.1016,71.3,0.0103088,85.2314729
3150,0,0.2286,39.6,0.00253511,56.4921424
3150,4.2,0.0508,71.3,0.00142788,80.6977424
2500,3,0.3048,71.3,0.00425727,54.8940357
4000,4,0.2286,39.6,0.00473801,41.9576143
1000,3,0.3048,71.3,0.00425727,68.1362512
250,12.3,0.1016,39.6,0.0408268,69.9204935
2500,19.7,0.0508,39.6,0.036484,34.046853
2000,15.6,0.1016,39.6,0.0528487,19.9803228
5000,0,0.0254,55.5,0.00041229,86.2153323
2500,11.2,0.0508,39.6,0.0150478,49.9641024
3150,0,0.1016,71.3,0.00121072,75.9831946
800,11.2,0.0508,39.6,0.0150478,80.8626054
16000,0,0.0254,31.7,0.000439472,59.15654
1000,9.9,0.1524,39.6,0.0233328,54.3914697
8000,0,0.0508,55.5,0.00076193,71.1995107
630,15.4,0.0508,71.3,0.0264269,69.8407211
1000,3,0.3048,31.7,0.00529514,62.3766852
315,15.4,0.0508,39.6,0.0282593,56.1411439
10000,5.3,0.2286,71.3,0.0051942,21.192863
5000,5.4,0.1524,71.3,0.00401199,44.3561039
1600,9.9,0.1524,71.3,0.0193001,48.9509932
2500,0,0.1524,71.3,0.0015988,65.8042386
3150,0,0.3048,71.3,0.00266337,58.0237722
5000,0,0.0254,39.6,0.000428464,88.1644375
630,15.4,0.0508,55.5,0.0271925,69.0031111
1250,0,0.2286,31.7,0.0027238,67.6070944
200,15.6,0.1016,71.3,0.0437259,73.1725477
2000,4.8,0.0254,71.3,0.000848633,66.5248491
500,17.4,0.0254,55.5,0.0165706,43.186109
500,15.4,0.0508,55.5,0.0271925,63.3924535
6300,4.8,0.0254,55.5,0.000873218,84.5161805
1000,6.7,0.1016,31.7,0.00592927,75.1349483
800,5.4,0.1524,55.5,0.00433288,79.0198633
800,4,0.2286,71.3,0.00400603,72.614141
4000,3,0.3048,39.6,0.00495741,35.6635733
2000,17.4,0.0254,55.5,0.0165706,58.1833169
2000,0,0.1016,39.6,0.00146332,79.4293616
5000,0,0.1524,71.3,0.0015988,61.3635759
400,9.9,0.1524,71.3,0.0193001,84.2901587
630,19.7,0.0508,39.6,0.036484,45.0554418
5000,12.6,0.1524,71.3,0.0483159,12.3753557
1600,6.7,0.1016,55.5,0.0052139,80.4983115
500,8.9,0.1016,39.6,0.0124596,80.8626054
6300,2,0.2286,71.3,0.00293031,46.2839365
3150,0,0.1016,39.6,0.00146332,73.3400697
1600,1.5,0.3048,39.6,0.00392107,50.0731247
6300,7.3,0.2286,31.7,0.0132672,19.4352115
630,17.4,0.0254,71.3,0.016104,51.1234611
500,4,0.2286,31.7,0.00509068,67.9634111
6300,3.3,0.1016,71.3,0.00202822,57.2340256
1600,0,0.2286,55.5,0.00229336,62.2490494
1600,15.4,0.0508,55.5,0.0271925,65.9983514
800,9.5,0.0254,71.3,0.00420654,63.3552264
5000,12.3,0.1016,39.6,0.0408268,13.9468716
5000,17.4,0.0254,31.7,0.0176631,38.8651049
8000,3.3,0.1016,31.7,0.00251435,37.3653841
1000,6.7,0.1016,71.3,0.00478288,88.7547531
2000,12.6,0.1524,39.6,0.0584113,16.3267477
1600,0,0.1524,71.3,0.0015988,69.8992209
5000,0,0.2286,31.7,0.0027238,45.5367352
2000,5.4,0.1524,31.7,0.00525474,51.5622092
200,11.2,0.0508,71.3,0.014072,59.9914909
315,9.9,0.1524,39.6,0.0233328,67.0486877
500,8.9,0.1016,71.3,0.0103088,93.4480283
250,11.2,0.0508,71.3,0.014072,63.0760231
1600,7.3,0.2286,71.3,0.0104404,59.425107
315,2,0.2286,39.6,0.00346574,44.558194
400,8.9,0.1016,71.3,0.0103088,92.3843965
5000,17.4,0.0254,39.6,0.0172206,43.8056745
2500,22.2,0.0254,71.3,0.0214178,60.4063073
800,4,0.2286,39.6,0.00473801,72.0318026
200,0,0.3048,39.6,0.00310138,39.2187625
6300,2.7,0.1524,71.3,0.00243851,49.3631505
4000,0,0.3048,39.6,0.00310138,42.1437498
630,19.7,0.0508,71.3,0.0341183,66.4370995
6300,0,0.1524,31.7,0.00209405,43.4945622
2500,7.2,0.1524,39.6,0.00909175,37.4877018
2500,4,0.2286,55.5,0.0042862,50.5331454
4000,22.2,0.0254,39.6,0.0229028,43.252586
2000,8.4,0.0508,55.5,0.00544854,78.873614
2000,0,0.1016,31.7,0.00150092,79.1687718
500,5.4,0.1524,31.7,0.00525474,69.936448
2000,4,0.2286,39.6,0.00473801,48.6053128
2000,0,0.1524,71.3,0.0015988,67.1869599
1250,6.7,0.1016,55.5,0.0052139,89.087138
500,3,0.3048,39.6,0.00495741,64.4879943
630,7.2,0.1524,71.3,0.00752039,83.6892068
2000,6.7,0.1016,39.6,0.00578076,50.1369426
3150,12.7,0.0254,39.6,0.0130253,65.0596963
1250,7.3,0.2286,71.3,0.0104404,63.7594065
2500,9.9,0.1524,55.5,0.0208438,39.8463052
1000,9.5,0.0254,55.5,0.0043284,71.6675087
4000,4.8,0.0254,31.7,0.000930789,84.9522695
6300,0,0.1016,39.6,0.00146332,59.1671763
4000,1.5,0.3048,71.3,0.00336729,48.879198
200,19.7,0.0508,71.3,0.0341183,38.8890366
4000,0,0.1016,39.6,0.00146332,64.9373787
630,6.7,0.1016,55.5,0.0052139,78.8230914
6300,17.4,0.0254,55.5,0.0165706,30.5288909
630,6.7,0.1016,39.6,0.00578076,79.7059058
630,8.4,0.0508,31.7,0.00580776,59.7654692
2500,7.2,0.1524,71.3,0.00752039,55.7688728
1600,8.4,0.0508,55.5,0.00544854,78.8470232
1000,9.5,0.0254,39.6,0.00449821,71.77919
3150,8.4,0.0508,39.6,0.00566229,54.73715
250,9.5,0.0254,39.6,0.00449821,36.0145718
400,11.2,0.0508,39.6,0.0150478,72.5662776
3150,4,0.2286,31.7,0.00509068,44.8028293
12500,0,0.0254,31.7,0.000439472,68.0644561
4000,0,0.1524,71.3,0.0015988,67.7453666
1600,19.7,0.0508,39.6,0.036484,37.8227458
4000,4,0.2286,31.7,0.00509068,41.1598904
3150,2.7,0.1524,71.3,0.00243851,62.9510463
800,9.5,0.0254,55.5,0.0043284,65.68458
2500,0,0.0254,71.3,0.000400682,80.6419018
400,12.3,0.1016,39.6,0.0408268,66.1711915
1000,2,0.2286,55.5,0.00313525,68.1309331
800,2,0.2286,31.7,0.00372371,71.6010317
8000,0,0.0508,39.6,0.000791822,66.8439386
400,2,0.2286,71.3,0.00293031,57.7977504
500,17.4,0.0254,31.7,0.0176631,64.6049938
1600,9.5,0.0254,55.5,0.0043284,78.9267955
1250,4,0.3048,39.6,0.00579636,61.0604409
2500,5.4,0.1524,31.7,0.00525474,41.9363416
2500,7.3,0.2286,71.3,0.0104404,49.7460579
630,7.3,0.2286,71.3,0.0104404,80.8041056
5000,4,0.2286,55.5,0.0042862,44.2843088
2500,4.2,0.0508,71.3,0.00142788,76.0443534
200,17.4,0.0254,55.5,0.0165706,17.4728109
5000,12.3,0.1016,71.3,0.0337792,33.8447629
250,22.2,0.0254,39.6,0.0229028,37.2430665
1000,4,0.3048,39.6,0.00579636,67.3890499
800,15.4,0.0508,31.7,0.0289853,58.9650863
630,0,0.1016,55.5,0.00131983,60.6004201
2000,4,0.3048,71.3,0.00497773,55.8805542
2000,4,0.2286,55.5,0.0042862,55.505624
1600,7.3,0.2286,55.5,0.0111706,53.1124525
4000,9.5,0.0254,39.6,0.00449821,65.1049007
400,2,0.2286,39.6,0.00346574,49.9029436
6300,17.4,0.0254,71.3,0.016104,43.9705374
500,4.8,0.0254,31.7,0.000930789,33.8979445
1000,22.2,0.0254,39.6,0.0229028,66.5727125
5000,0,0.1016,39.6,0.00146332,60.2042173
6300,12.3,0.1016,71.3,0.0337792,28.1277422
6300,5.4,0.1524,55.5,0.00433288,36.9798176
315,11.2,0.0508,39.6,0.0150478,68.0990241
2000,4,0.2286,71.3,0.00400603,60.7280559
6300,0,0.2286,71.3,0.00214345,49.6290584
10000,0,0.1016,71.3,0.00121072,52.9821576
1000,4,0.2286,39.6,0.00473801,70.7022629
630,4,0.3048,71.3,0.00497773,75.0791076
800,8.9,0.1016,71.3,0.0103088,91.5600819
1250,19.7,0.0508,39.6,0.036484,40.5615976
1000,15.6,0.1016,39.6,0.0528487,42.1304544
1250,2.7,0.1524,71.3,0.00243851,71.1676018
1600,0,0.2286,71.3,0.00214345,68.4819316
5000,0,0.0508,31.7,0.000812164,79.3735209
800,2.7,0.1524,39.6,0.00294804,67.6709123
4000,7.3,0.2286,71.3,0.0104404,42.0879092
3150,15.4,0.0508,71.3,0.0264269,59.390539
5000,4.8,0.0254,39.6,0.000907475,85.2128593
1600,11.2,0.0508,71.3,0.014072,84.5879756
4000,7.2,0.1524,71.3,0.00752039,42.4468849
10000,0,0.0508,71.3,0.000740478,67.4342543
4000,12.6,0.1524,71.3,0.0483159,12.3753557
800,7.3,0.2286,31.7,0.0132672,52.726886
5000,3,0.3048,55.5,0.00452492,37.0383173
400,3,0.3048,31.7,0.00529514,58.5476108
630,9.5,0.0254,71.3,0.00420654,59.4197889
400,0,0.3048,31.7,0.00331266,57.6089558
3150,3.3,0.1016,55.5,0.002211,72.4572553
800,4,0.3048,39.6,0.00579636,72.7072088
630,7.2,0.1524,39.6,0.00909175,79.2884303
16000,0,0.2286,71.3,0.00214345,30.8559577
1600,12.6,0.1524,71.3,0.0483159,45.6138485
2000,0,0.3048,31.7,0.00331266,50.5092137
1600,0,0.0508,71.3,0.000740478,69.9337889
315,19.7,0.0508,71.3,0.0341183,47.4778632
2000,15.4,0.0508,55.5,0.0271925,62.9138192
1000,0,0.1016,39.6,0.00146332,72.8614354
2000,9.9,0.1524,55.5,0.0208438,42.8776558
4000,2,0.2286,31.7,0.00372371,45.5952349
2000,3,0.3048,55.5,0.00452492,52.3546148
3150,2,0.2286,39.6,0.00346574,48.5202223
10000,4.8,0.0254,39.6,0.000907475,60.3238759
6300,0,0.0508,39.6,0.000791822,75.8848087
4000,9.9,0.1524,39.6,0.0233328,23.6259207
2000,11.2,0.0508,71.3,0.014072,79.5889063
1600,15.4,0.0508,39.6,0.0282593,57.0718217
1250,0,0.0508,71.3,0.000740478,66.95562
10000,0,0.3048,31.7,0.00331266,12.989603
3150,7.2,0.1524,39.6,0.00909175,22.4373122
